@relation mfccATestset-weka.filters.unsupervised.attribute.Remove-R15

@attribute speech {no,yes}
@attribute ' Avgf0' numeric
@attribute ' Avgf1' numeric
@attribute ' Avgf2' numeric
@attribute ' Avgf3' numeric
@attribute ' Avgf4' numeric
@attribute ' Avgf5' numeric
@attribute ' Avgf6' numeric
@attribute ' Avgf7' numeric
@attribute ' Avgf8' numeric
@attribute ' Avgf9' numeric
@attribute ' Avgf10' numeric
@attribute ' Avgf11' numeric
@attribute ' Avgf12' numeric

@data
no,2.845383,2.824943,2.58979,2.161984,1.625183,1.900278,2.501942,2.745793,3.015091,3.343929,3.821926,4.878392,5.506911
no,5.890291,5.699406,5.400577,4.969307,4.577391,4.866114,5.734472,6.164292,6.432497,6.822545,7.437991,8.112622,8.549995
no,6.173438,6.346732,5.581627,5.279265,5.128345,5.72084,6.298765,6.603796,6.943463,7.335812,7.906068,9.295,10.183696
no,6.009686,5.968658,5.086003,4.612503,3.810949,3.732498,4.249738,4.476454,4.572444,5.020914,5.64642,5.913495,6.209614
no,6.005701,5.874138,5.181012,4.627138,3.737409,3.767497,4.320988,4.540579,4.583015,4.95463,5.583056,5.940713,6.213725
no,6.070956,6.166287,5.197226,4.714901,3.897158,3.917837,4.638495,4.873056,4.833955,5.211545,5.77663,6.082169,6.322705
no,5.977094,5.846813,5.237266,4.705981,3.931334,4.054767,4.974409,5.177398,5.03781,5.288694,5.810649,6.080941,6.327821
no,6.018569,6.388187,5.30437,4.738043,3.962258,3.970296,4.921364,5.140588,5.138553,5.567409,6.18581,6.581645,6.796679
no,5.911609,6.037993,5.068192,4.662129,3.935578,4.096546,5.174047,5.609628,5.82654,6.273638,6.901379,7.360121,7.600772
no,6.027636,6.076475,5.310114,4.783222,4.117993,4.452343,5.567534,5.945612,6.158117,6.553536,7.194798,7.567791,7.845124
no,5.955826,5.892813,5.185029,4.761078,4.017823,4.395152,5.519741,5.96986,6.075675,6.717499,7.454084,7.734483,7.979008
no,5.945364,6.329084,5.266145,4.696984,3.965574,4.094582,4.98922,5.533461,5.626443,6.184142,6.971384,7.382445,7.702703
no,5.878302,6.001087,5.190902,4.673732,3.993904,4.048555,4.947253,5.510682,5.491999,6.04489,6.894352,7.273275,7.64038
no,6.11684,5.88791,5.492706,5.448635,5.450875,6.15111,6.653608,6.986977,7.37881,7.824286,8.423922,10.02651,10.945801
no,6.023996,6.041328,5.21787,4.693967,3.956932,4.097019,5.104037,5.700043,5.685785,6.119812,6.810452,7.229048,7.606335
no,5.836599,5.940342,5.124415,4.669796,3.919161,3.944341,4.810499,5.360415,5.459641,6.013887,6.732694,6.906252,7.273325
no,6.099259,6.170872,5.345566,4.751267,3.970861,4.185689,5.093949,5.546762,5.534696,6.042948,6.7895,6.94461,7.237521
no,6.113854,5.891308,5.230596,4.773144,3.958645,4.190696,5.14008,5.579083,5.463891,5.922433,6.51726,6.844432,7.140297
no,6.104816,6.439886,5.393395,4.747804,3.964873,4.150596,4.992448,5.453628,5.479325,5.950163,6.583504,6.871499,7.194494
no,6.176718,6.205762,5.399097,4.827807,3.997964,4.284423,5.088587,5.484778,5.575727,6.032108,6.616646,6.720019,6.97775
