file_name ; total_energy;total_F;total_SFM; speech; 
file stem1-0-stem1.wav ; 31.180957925008695;302.8;-1.7421599581221745; yes; 
file stem1-1-stem1.wav ; 51.67815235482061;332.5075396825397;-3.8076487299196105; yes; 
file stem1-10-stem1.wav ; 54.212964219038746;347.678820861678;-1.9538997485596958; yes; 
file stem1-100-stem1.wav ; 52.552015311564794;341.4725623582766;-3.562645300306177; yes; 
file stem1-101-stem1.wav ; 52.46134894184533;312.8147868480726;-3.439177028032965; yes; 
file stem1-102-stem1.wav ; 52.179769799195874;337.0778367346938;-3.7515186635317717; yes; 
file stem1-103-stem1.wav ; 52.502478524520946;314.2322108843537;-3.718990003510075; yes; 
file stem1-104-stem1.wav ; 52.70454028956718;339.7994557823129;-3.28594708034652; yes; 
file stem1-105-stem1.wav ; 52.034633658251785;337.80238095238093;-3.958168915492649; yes; 
file stem1-106-stem1.wav ; 52.22530218442681;337.40906122448973;-3.6107342820990596; yes; 
file stem1-107-stem1.wav ; 52.52081136723428;315.46355782312924;-3.634056832744693; yes; 
file stem1-108-stem1.wav ; 51.86640195027066;340.43167346938776;-3.8035167052405296; yes; 
file stem1-109-stem1.wav ; 52.99968384573219;333.1213310657596;-3.6098316464016103; yes; 
file stem1-11-stem1.wav ; 51.47191757241509;308.3769002267574;-2.1776353072482784; yes; 
file stem1-110-stem1.wav ; 52.3754497402687;315.8859637188209;-3.8208727113733594; yes; 
file stem1-111-stem1.wav ; 52.21008775323349;334.7404285714286;-3.5663930482495476; yes; 
file stem1-112-stem1.wav ; 50.72669641698604;326.32666666666665;-3.3402276939404842; yes; 
file stem1-113-stem1.wav ; 51.704411424984194;333.3519841269841;-3.700093937918596; yes; 
file stem1-114-stem1.wav ; 50.61542872487238;335.364693877551;-3.563406638134705; yes; 
file stem1-115-stem1.wav ; 52.851067475522825;338.0793197278912;-3.605640020919926; yes; 
file stem1-116-stem1.wav ; 51.25083702889155;313.5225215419501;-3.0581194361962325; yes; 
file stem1-117-stem1.wav ; 52.4673171482267;333.0813469387755;-3.2248677581756406; yes; 
file stem1-118-stem1.wav ; 54.8680331375026;349.83356462585033;-2.5378040555535413; yes; 
file stem1-119-stem1.wav ; 52.082464492649066;333.5977619047619;-3.0310485779082144; yes; 
file stem1-12-stem1.wav ; 52.370370753072045;307.8837551020408;-1.292831874175243; yes; 
file stem1-120-stem1.wav ; 53.345541951131366;333.4047619047619;-3.3607544942890875; yes; 
file stem1-121-stem1.wav ; 53.28920091499078;334.013947845805;-3.0014002084847826; yes; 
file stem1-122-stem1.wav ; 55.89055405039311;307.9495736961451;-2.288341131036845; yes; 
file stem1-123-stem1.wav ; 54.44536043886625;334.8312857142857;-2.3939756808010455; yes; 
file stem1-124-stem1.wav ; 54.85721978941941;332.6326712018141;-2.1868484206629946; yes; 
file stem1-125-stem1.wav ; 52.62324509158843;336.5512471655329;-3.5789791133772724; yes; 
file stem1-126-stem1.wav ; 53.83547812834473;334.6534285714286;-2.738220537761288; yes; 
file stem1-127-stem1.wav ; 53.1907040477386;333.8586916099773;-3.4412187314639646; yes; 
file stem1-128-stem1.wav ; 51.81820233449642;353.824;-3.395287734407837; yes; 
file stem1-129-stem1.wav ; 50.695520369499654;336.0802244897959;-3.3884928572674506; yes; 
file stem1-13-stem1.wav ; 51.884153733015445;334.99872335600907;-3.4117176936133218; yes; 
file stem1-130-stem1.wav ; 52.769304839886615;330.8724943310657;-3.72541094327228; yes; 
file stem1-131-stem1.wav ; 52.603631172811525;313.8294761904762;-3.8144919560265933; yes; 
file stem1-132-stem1.wav ; 51.83173481114349;348.03863945578235;-3.582031903006534; yes; 
file stem1-133-stem1.wav ; 51.78291349167148;332.8006666666667;-3.533097767699417; yes; 
file stem1-134-stem1.wav ; 52.546596466036625;310.0392154195011;-3.662490561749073; yes; 
file stem1-135-stem1.wav ; 51.82629504750922;335.32336734693877;-3.4049395177248907; yes; 
file stem1-136-stem1.wav ; 51.665410281263284;333.22447165532884;-3.66290699309285; yes; 
file stem1-137-stem1.wav ; 52.280054046115076;334.9372857142857;-3.5931919609802905; yes; 
file stem1-138-stem1.wav ; 52.323569615891955;348.68772789115644;-3.5718425268656624; yes; 
file stem1-139-stem1.wav ; 52.41612263617195;344.0811111111111;-3.5613017561784717; yes; 
