speechJ	pitch1	pitch2	jitt1	jitt2	jitt3	jitt4	jitt5	shim1	shim2	shim3	shim4	shim5	shim6	filename
1	0	0	0	0	0	0	0	0	0	0	0	0	0	299_pch10.wav
1	120.048	19.615	0.025240000000000002	0.000212247	0.8009999999999999	0.00762	0.02403	0.09263	0.927	0.03373	0.043899999999999995	0.09436	0.1012	a0001_6.wav
1	220.198	54.725	0.044340000000000004	0.000203471	2.501	0.02114	0.07502	0.24541000000000002	2.148	0.10665	0.12465	0	0.31994	sense-os_project20_ch08.wav
