speechJ,pitch1,pitch2,jitt1,jitt2,jitt3,jitt4,jitt5,shim1,shim2,shim3,shim4,shim5,shim6,filename
0,177.737,2.09,0.00846,4.7725e-05,0.4030000000000001,0.011439999999999999,0.012090000000000002,0.3155,2.58,0.13984,0,0,0.41953,10_dch05.wav
0,174.329,5.274,0.08874000000000001,0.00051138,4.929,0.039380000000000005,0.14787,0.23685,2.537,0,0,0,0,10_dch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_dch07.wav
0,185.139,1.245,0.01656,8.9116e-05,0.685,0.01023,0.020560000000000002,0.10497000000000001,1.075,0.013720000000000001,0,0,0.04117,10_dch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_dch09.wav
0,177.953,1.645,0.13394,0.000800277,8.98,0.12847,0.26941,0.15714,1.246,0.10476,0,0,0.31427,10_dch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_hch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_och10.wav
0,296.492,1.455,0.18328,0.000626468,12.219,0,0.36656,0.18123,1.232,0,0,0,0,10_pch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_pch02.wav
0,295.256,1.599,0.09084,0.000337931,6.035,0,0.18106000000000003,0.33511,3.545,0,0,0,0,10_pch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_pch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_pch05.wav
0,289.634,17.151,0.1244,0.000433183,4.904,0,0.14711000000000002,0.31788,2.6,0.08718000000000001,0,0,0.26153,10_pch06.wav
0,277.541,23.8,0.08717000000000001,0.000313528,2.649,0,0.07946,0.25445,1.833,0.03527,0,0,0.1058,10_pch07.wav
0,269.677,24.635,0.06353,0.000206018,4.222,0,0.12667,0,0,0,0,0,0,10_pch08.wav
0,281.644,19.735,0.04836000000000001,0.000236104,3.438,0,0.10314000000000001,0.07535,0.926,0,0,0,0,10_pch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10_pch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_ch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch04.wav
0,297.194,0.367,0.13707,0.000458015,9.138,0,0.27413,0.21503,1.692,0,0,0,0,11_dch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_dch08.wav
0,295.238,1.933,0.06266000000000001,0.000212458,4.1,0.029830000000000002,0.12299,0.26765,2.513,0.21606000000000003,0,0,0.64819,11_dch09.wav
0,165.498,1.366,0.040389999999999995,0.000244422,2.492,0.02924,0.07476000000000001,0.22008,1.943,0.13322,0.23837,0,0.39965000000000006,11_dch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch01.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch02.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch03.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch04.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch05.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch06.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch07.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch08.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch09.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_hch10.wav
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11_och01.wav
