speech, Avgf0, Avgf1, Avgf2, Avgf3, Avgf4, Avgf5, Avgf6, Avgf7, Avgf8, Avgf9, Avgf10, Avgf11, Avgf12
yes,863.799.883.925,894.022.474.994,900.051.673.638,877.711.268.092,877.455.330.132,865.467.373.304,833.956.807.165,887.087.642.173,974.537.352.306,101.836.914.229,99.013.384.162,10.690.993.901,108.573.646.896
yes,803.244.855.986,810.726.988.651,870.168.650.365,817.774.736.371,845.606.616.159,824.697.916.684,806.635.440.797,860.227.999.744,90.400.269.866,927.135.981.858,949.786.775.842,981.663.242.671,983.941.489.566
yes,410.615.380.642,370.000.317.511,428.958.567.821,373.545.888.207,399.345.272.949,393.364.136.307,383.681.620.779,423.114.215.956,459.468.302.666,534.895.014.124,616.477.640.461,705.524.175.564,626.681.378.985
yes,668.778.753.595,563.766.122.987,593.073.819.191,562.795.612.445,537.667.361.844,540.712.885.925,516.575.482.344,58.076.869.403,631.869.498.798,641.497.232.763,686.485.144.898,70.327.210.254,685.803.394.202
yes,884.983.152.229,713.648.289.532,681.882.913.326,635.846.706.393,617.882.750.174,584.624.420.764,543.297.889.811,592.833.133.511,599.703.992.284,666.756.207.153,753.791.603.535,851.400.219.255,856.514.296.092
yes,987.939.117.706,878.498.509.411,888.689.384.178,835.089.359.978,830.808.163.722,819.955.678.253,794.157.787.796,848.473.424.787,89.845.177.328,950.773.507.649,103.669.734.074,108.814.260.157,11.156.736.648
yes,10.984.571.858,106.002.680.296,108.191.415.184,104.616.384.819,10.523.010.057,105.283.199.934,102.911.401.318,109.260.719.786,11.849.340.357,12.673.028.744,133.040.157.271,134.416.061.366,13.423.364.198
yes,554.180.435.143,674.942.366.543,721.428.825.787,6.511.547.551,663.905.613.379,679.191.828.947,631.679.194.445,665.424.622.453,707.240.860.995,785.824.993.931,812.273.303.149,796.897.196.412,808.848.609.418
yes,839.285.962.659,846.770.848.867,897.823.568.827,903.723.432.729,908.281.557.192,909.544.191.739,92.376.968.459,961.695.689.877,10.147.247.413,106.070.282.866,110.049.358.747,113.498.323.698,112.966.879.573
yes,741.226.681.292,69.447.096.577,668.683.674.601,663.877.709.019,64.740.647.746,689.468.558.377,649.357.739.669,634.312.281.479,687.192.633.116,72.250.864.275,754.339.077.091,745.711.218.711,754.236.593.535
yes,803.862.364.625,854.192.875.547,916.746.832.777,952.486.466.868,953.524.692.078,947.763.864.502,946.786.277.272,973.115.196.178,101.233.874.689,103.850.555.326,106.762.357.392,110.333.774.586,111.785.273.577
yes,478.543.522.818,507.380.293.986,550.726.747.966,607.222.464.382,582.586.094.294,565.950.478.057,498.328.326.692,516.719.156.162,526.060.952.308,535.788.620.896,558.313.914.006,564.416.575.819,543.101.584.263
yes,371.801.778.478,436.593.976.313,578.826.459.783,641.642.389.499,622.793.410.868,552.445.554.123,531.618.593.686,605.439.881.888,581.824.341.486,482.105.937.208,445.700.758.038,491.842.966.084,506.034.954.459
yes,305.200.105.208,3.190.032.837,321.999.494.264,293.026.133.411,310.664.027.406,327.304.550.008,318.948.813.011,349.802.799.334,396.217.329.335,410.380.027.792,424.794.233.485,498.041.515.256,533.107.557.399
yes,953.648.111.455,902.380.278.649,913.090.812.141,908.693.352.594,915.315.842.723,901.500.630.534,882.816.487.723,929.060.828.545,918.855.363.627,903.788.858.203,929.937.381.988,962.613.618.818,992.344.533.919
yes,776.828.050.225,86.916.817.738,985.354.888.469,971.523.698.954,952.433.036.717,94.875.325.305,100.235.622.406,106.049.700.097,105.663.374.097,107.104.279.717,111.159.822.064,11.285.437.913,116.164.464.687
